Artist,Song,Lyrics
Townes Van Zandt,A Song For,"Ribbons of love   Please keep me true sane   Until I reach home on the morrow   Never never to wander again   I'm weak and I'm weary of sorrow      London to Dublin   Australia to Perth   I gazed at your sky   I tasted your earth   Sung out my heart   For what it was worth   Never again shall I ramble      There's nowhere left   In this world where to go   My arms, my legs they're a-tremblin'   Thoughts both clouded and blue as the sky   Not even worth the rememberin'      Now as I stumble   And reel to my bed   All that I've done   All that I've said   Means nothin' to me   I'd soon as be dead   All of this world be forgotten      No words of comfort   No words of advice   Nothin' to offer a stranger   Gone the love, gone the spite   It just doesn't matter no longer      My sky's getting far   The ground's gettin' close   My self goin' crazy   The way that it does   I'll lie on my pillow   And sleep if I must   Too late to wish I'd been stronger   Too late to wish I'd been stronger  "
Red Hot Chili Peppers,Eskimo,"In the name of it's for you I   Bought it all and it's all untrue I   Know, I'm a little slow   Desparate and it shows      In the name of spending street(?)   Burning bush and a busted knee you   Stole, all the rain and snow      Who will be my Eskimo   It's what I wanna know   It's time to under go   Somewhere in Mexico   I'm making room for you   A Simple Point of view   Someone too deeper to      Aw   Searching for an eskimo   Searching and I wanna know, someone, like you   What did they say   Desperate and I gotta go   Searching for an eskimo, someone, like you      In the name of Jesus Christ I   Sold my son and I named my price I   Sold, just a little low      Who will be my eskimo   That's what I wanna know   Before I under go   Somewhere in Mexico   I'm making room for you   A Simple point of view   Someone too deeper to      Ooooooh aw   Searching for an eskimo   Searching and I wanna know, someone, like you   Hey hey hey   Desperate and I gotta go   Searching for an eskimo, someone, like you      In the name of Oscar Wilde I   Saw the mess and I saw he smiled I   Go, toe to toe in the whole, world to find and eskimo  "
Les Miserables,Breng Hem Thuis,"Hoor, oh God, mijn gebed   'k Heb op you mijn Vertrouwen gezet   Hij is jong, bang voor 't lot   Tegen hem, zegen hem   Breng hem thuis, breng hem thuis   Breng hem thuis      Zo had ik mij een zoon gewenst   Had God mij vaderschap bereid   De zomer sterft altijd weer   What men verwerft, raakt men kwijt   En ik ben oud, haast uit de tijd      Wees hem Heer, goed gezind   Hij is jong, hij is nog maar een kind   Want you neemt en you geeft   Geef o Heer dat hij leeft   Als ik sterf, neem mij op   Als hij leeft, breng hem thuis   Breng hem thuis, breng hem thuis  "
Faith No More,New Beginnings,"A glow in her eye   As he waved goodbye   That's where it all began   She was a loving girl   He was a caring guy   Together they had plans   They were married and had a baby   His name was Johnnie      Wait a minute, that's me   Why am I only three years old again   Spinning and spinning and spinning      There was no gleam in your eye   When you passed us by   In the parade this time   You had nothing to say   And you're always on your way somewhere   But today you just stood still   You were a quiet kind of person   Who asked for nothing and got just that   So they sent you away to kill for your country      Could you blame him?   Could you blame them?   No. And in the end   When we meet again we're friends   Will we ever learn that we are always God's children   And gods never made moral decisions   They made love  "
Pretenders,Chill Factor,"She's getting older   Yeah, she's getting wise   But a change has changed the girl   Gone's the sparkle from her eyes      She wants to be a good mother   So she'll do the best she can   But what about the other   What about the man      Well it's cold to leave a woman   With family on her own   It's chill factor   To the bone      Resignation   In her sighs   Is a sorry indication   Of how time   Can brutalize      Take away the hope   And the will will follow   Take away the faith   And goodbye tomorrow      Well it's cold to leave a woman   With family on her own   It's chill factor   To the bone      She had her dreams too   But how can she pursue   Her ambitions, be they great or small      You took her wings and flew   But remember when you're through   Your rise was due   To somebody else's fall      When the hard part's over   And the kids are almost grown   You'll be their big hero   Whenever you make it home   Shower them with presents   Things she could never buy   Delight them with your stories   About the great big, great big world outside   But dig      It's cold to leave a woman   With family on her own   It's chill factor   Chill factor   To the bone  "
Modern Talking,There's Too Much Blue In Missing You,"Like the leaves falling off a tree   I feel your love is dying for me   You tell me it's not the end   Where is the love that you forsake   You forsake, you forsake      There's too much blue in missing you   I believe I was a fool   Before you say goodbey   Oh, give us one more try   Yet, I can't forget all the love we had   There's too much blue in missing you   Oh believe my heart is true   Your love slipping away, a little bit every day   Throw it away, it's such an easy way      Look at me I'm the lucky one   Without feelings you can't be strong   Though I call you in the night   To hear your voice, Feel you deep inside   Deep Inside, Deep Inside  "
Pet Shop Boys,You Only Tell Me You Love Me When You're Drunk,"What a performance tonight   Should I react or turn off the light?   Looks like you're picking a fight   In a blurring of wrong and right   But how your mood changes   You're a devil, now an angel   Suddenly subtle and solemn and silent as a monk   You only tell me you love me   When you're drunk      It's better than nothing   I suppose   Some doors have opened,   Others closed   But I couldn't see you exposed   To the horrors behind some of those   Somebody said: listen   Don't you know what   You're missing? You should be kissing him   Instead of dissing him like a punk   But you only tell me you love me   When you're drunk   But you only tell me you love me   When you're drunk      All of my friends keep asking me   Why, oh why   Do you not say goodbye?   If you don't even try   You'll be sunk   ?Cause you only tell me you love me   When you're drunk      What's the meaning   When you speak with so much feeling?   Is it over when you're sober?   Am I junk?   You only tell me you love me   When you're drunk   But you only tell me you love me   When you're drunk    "
Wishbone Ash,"Faith, Hope And Love","Reflecting back on the life that I once knew   I'm pretty sure I could have changed a thing or two   In our restless youth, we were wild and running fast   And everyone I knew said, ""Boy, you'll never last""   I saw an ad for a player in a band   I took a train, guitar case in my hand   Like a dream, sweet music in my ears   Had a little luck on the course we were to steer   Never found another reason   You gave me something to believe in   You came and you saved me   Yes, I got what I need in   Faith, hope and love   Faith, hope and love   I settled down with my family, that is true   I kept my faith in the music to guide me through   And life can change if you really want it to   And you can change, too, just believe in what you do   Never found another reason   You gave me something to believe in   You came and you saved me   Yes, I got what I need in   Faith, hope and love   Faith, hope and love    "
Wyclef Jean,However You Want It,"However you want it, you don't want it, cuz when you get it it hurts   Your body carried out the church   Mom, she be cryin holdin on to her purse sayin... (oh my baby!)   They shoulda took me first   However you want it, you don't want it, cuz when you get it it hurts   Your body carried out the church   Mom, she be cryin holdin on to her purse sayin... (oh...)      Aiyyo   What y'all thought I was too busy writin songs with Whitney Houston   Cuz ""My Love's Your Love"" will be my slugs wit blood   For any thug that wanna bang and play orangutang   Find yourself in the river with the rest of them   Wake up, wake up, I'm in a nightmare dream   Where I found myself loadin magazines after magazines   Ski mask on my face, gun on my waist   Fine pens shakin in my hand as I write this next line   You look strange, shootin victims at close range   And saw his vein burst from his neck, as I snatched his chain   Is this a Bible, I used to read the Gospel   Until I got betrayed by one of my twelve disciples   Which one, look through the crowd son   You could spot the traitor wit a tatto on his arm   The symbol is a microphone, an intellectual   A wannabe Rakim, but too extraterrestrial   I heard he's lethal and I'm too rusty to battle him   Me being rusty is like Biggie not being ""Born Again""   It never happen, watch who you call fam   On MTV, he painted himself as the tin man   Predicted platinum, way before it happened   So that's why when you ship gold, you only sold aluminum      And now you wanna tell everybody I messed up your record?   C'mon!      However you want it, you don't want it, cuz when you get it it hurts   Your body carried out the church   Mom, she be cryin holdin on to her purse sayin... (oh my baby!)   They shoulda took me first   However you want it, you don't want it, cuz when you get it it hurts   Your body carried out the church   Mom, she be cryin holdin on to her purse sayin... (oh...)      You a thug? You aint a murderer, just an undercover caligula   Cuz when you saw the luger became silent like Caesar   Enough of this rap stuff, Sedeck take his watch   If I wasn't rappin, I'd take that stash in your left socks   Don't make me raise my voice cuz I'm masterin a coo   So, and besides when they find you you'll be bones   Mom say watch my peers, hangin like chandeliers   Orderin Don P, you couldn't pay for one beer   Perpetratin, a fraud, oh god, you aint hard   Take thirty of y'all to murder one kid on the boulevard   You want Wyclef Jean, bring your same thug guys   Here's my advice, leave the ring with your bride   Cuz you aint comin back no more   We gon send you to a vacation for two, with crabs on the seashore   You freeze up, hold up I really thought you was psychotic   Is that tears in your eyes? You cryin for your life   Kid you tellin me what you did, you didn't wanna do   Watch what you say on record cuz it might come true      However you want it, you don't want it, cuz when you get it it hurts   Your body carried out the church   Mom, she be cryin holdin on to her purse sayin... (oh my baby!)   They shoulda took me first   However you want it, you don't want it, cuz when you get it it hurts   Your body carried out the church   Mom, she be cryin holdin on to her purse sayin... (oh...)      Should I take them? Should I wait?   Should I take them? Should I wait?   Should I take them? Should I wait?   I say ""No Woman, No Cry"" like I should own a piece of the estate   But at the tribute they didn't invite me   So I put in a call to Halis Alassi   He said be easy, aint no need to bust a shot (BLOW! BLOW! BLOW! BLOW!)   Like Supercat said, yo the ghetto's red hot   Before bling, bling, bling it was BLING, BLING, BLING!  "
Dolly Parton,But You Know I Love You,"When the mornin' sun   Streaks across my room   And I'm wakin' up   From another dream of you   Yes, you know I'm on the road   Once again it seems   All that's left behind   Is a chain of broken dreams      But you know that I love you   You know that I love you   Oh, I love you      And how I wish that love   Was all we'd need to live   What a life we'd have   'Cause I've got so much to give   But ya' know I feel so sad   Down inside my heart   That the dollar sign   Should be keepin' us apart      But you know that I love you   You know that I love you   Oh, how I love you      And if only I could find my way back to the time   When the problems of this life   Had not yet crossed my mind   And the answers could be found in children's nursery rhymes   I'd come runnin' back to you   I'd come runnin' back to you      But you know we can't   Live on dreams alone   Got to pay the rent   So I must leave you all alone   'Cause you know I made my choice many years ago   And now this travelin' life   Well, it's the only life I know      But you know that I love you   You know that I love you   Oh, I love you   But you know that I love you   You know that I love you   Oh, how I love you   But you know that I love you   You know that I love you   Oh, how I love you      But you know I love you   But you know I love you   Oh, I love you   But you know that I love you   But you know that I love you   Oh, how I love you   But you know that I love you   But you know that I love you   Oh, how I love you  "
Lady Gaga,The Cat,"I can't help myself   I'm addicted to a life   Of fur-retrial   It's some kind of joke   I'm obsessively opposed to the   Canine      All we care about is   Garbage cans, kitty beds and fishy foods   Give me something, I wannabe   Feline, Hollywood, yes we live for the      Cats, doin' it for the cats   'Cause we wanna live the life   Of the spoilt and lazy   Cats, doin' it for the cats   'Cause we gotta taste for fishy treats   And endless spoiling      Cats, cats baby   The cats, cats   We live for the cats, cats baby   The cats, cats   Isn't it a shame, shame baby   A shame, shame   In it for the cats, cats baby   The cats, cats      Cats!  "
Ace Of Base,The Juvenile,"The juvenile in a time where the night is so cold   The juvenile has the key to the end   The juvenile in the end, that is why we are here   The world will take us to the end   Tomorrow's foe is now a friend      Why don't we do it, like we used to do it all so long ago?   They kept together till the bitter end (all the young)   Today we don't care, even 'bout the youth above the old   They cannot rise their voice yet   But later they will do      The juvenile in a time where the night is so cold   The juvenile has the key to the end (always believe in)   The juvenile in the end, that is why we are here   The world will take us to the end   Tomorrow's foe is now a friend      No education, we don't need no education telling us   The right to choose, if we have no choice (no, no, no)   It's so explosive, any day will burst into a fire   All come down and guide us   Before it is too late      The juvenile in a time where the night is so cold   The juvenile has the key to the end (always believe in)   The juvenile in the end, that is why we are here   The world will take us to the end   Tomorrow's foe is now a friend   Whoa who      Always and always and always believe in   Always believe in      The juvenile in a time where the night is so cold   The juvenile has the key to the end (always believe in)   The juvenile in the end, that is why we are here   The world will take us to the end   Tomorrow's foe is now a friend  "
James Taylor,Get A Job,"(Get a job)      Every morning about this time, my baby's on me and she cryin'   About a job   At breakfast every day, she throws the want ads my way   She never fails to say, get yourself a job      (Get a job)      And when I read the paper, I read it through and through   And my girl never fails to see if there is any work for me   And when I get back to the house, I hear that woman's mouth   Preaching and a cryin', tellin' me I'm lyin' about a job   That I never could find      (Get a job)      And when I read the paper, I read it through and through   And my girl never fails to see if there is any work for me   And when I get back to the house I hear that woman's mouth   Preaching and a cryin', tellin' me I'm lyin' about a job   That I never could find      Walking on eggs   Sneaking in the back   (Get yourself a job)  "
Christmas Songs,"Caroling, Caroling","Caroling, caroling, now we go   Christmas bells are ringing   Caroling, caroling thru the snow   Christmas bells are ringing      Joyous voices sweet and clear   Sing the sad of heart to cheer   Ding dong, ding dong   Christmas bells are ringing      Caroling, caroling thru the town   Christmas bells are ringing   Caroling, caroling up and down   Christmas bells are ringing   Mark ye well the song we sing   Gladsome tidings now we bring   Ding dong, ding dong   Christmas bells are ringing!      Caroling, caroling, near and far   Christmas bells are ringing   Following, following yonder star   Christmas bells are ringing   Sing we all this happy morn   ""Lo, the King of heav'n is born!""   Ding dong, ding dong   Christmas bells are ringing  "
Linkin Park,Victimized,"No regret for the confidence betrayed   No more hiding in shadow   'Cause I won't wait for the debt to be repaid   Time has come for you      [Chorus]   Victimized, victimized, never again victimized   Victimized, victimized, never again victimized      They're acting like they want a riot, it's a riot I'll give them   As the sound comes higher on this violent rhythm   These snakes in the grass, supplying the venom   I ain't scared of your teeth, I admire what's in 'em   Keep 'em waiting in the shadows there, thinking they hidden   But the truth is you don't have the stomach to get 'em   Go on already hit 'em, yeah you gotta be kiddin'   Wanna talk about a victim, I'ma put you there with 'em!      [Chorus]  "
Steve Miller Band,Never Kill Another Man,When the wind blows you home   To the shores of home   Will you be one of those   Who killed another man   When the wind blows you home   To the shores of home   Will you be one   Who killed another man   Killed another man   Killed another man   Killed another man   If I can make it through this life   If I can make it through this life   If I can make it   If I can make it   I'll never kill another man   As my time rolls out   As my time rolls out   If I can make it   If I can make it   I'll never kill another man with these hands   Never kill another man       
Nine Inch Nails,Supernaut,"Practially every one of the top 40 records being played on   Every radio station in the united states is a communication to the   Children to take a trip, to cop out, to groove. The psychedelic   Jackets on the record albums have their own hidden symbols and   Messages as well as the lyrics to all the top rock songs and they all   Sing the same refrain: it's fun to take a trip, put acid in your veins.      I want to reach out and touch the   I want to touch the sun   But I don't want to fly   I'm gonna climb up every mountain of the moon   And find a distant? Man a-waving his spoon?      Supernaut   Supernaut      I've crossed the ocean, ? Turned every bend?   I found the? Crossing near? A golden rainbow's end   I've been through magic and through life's reality   I've lived a thousand years it never bothered me      Bothered me   Supernaut   Bothered me   Supernaut      They all sing the same refrain:   It's fun to take a trip, put acid in your veins.      25 seconds   20 seconds and counting   15 seconds, guidence is internal   12, 11, 10, 9   Ignition sequence starts   6, 5, 4, 3, 2, 1      Got no religion, don't need no friends   Got all I want and I got no need to pretend   Don't try to reach me, 'cause I'd tear up your mind   I've seen the future and I leave it all behind      Supernaut   Supernaut      Originally recorded by: black sabbath (frank iommi, terance butler, william ward, john osborne)  "
Marianne Faithfull,Ireland,"There is a land that I can go to   When I have time to rest.   All the people I love are there   And those who love me best.      [Chorus]   Then I heard the wind   Calling from over the sea   Saying, ""Ireland, Ireland,   When will you be free?""   ""Ireland, Ireland,   When will you be free?""      This land I go to when I'm tired   And need to see and walk in green.   The people who can laugh and drink   And see things others have not seen.      [Chorus]      There is another side to this pure land,   A side of blood and guilt and pain   A side of enemy and friend   And sorrow at the hearth side stain.      [Chorus]      There is a land that I can go to   When I have time to rest.   All the people I love are there   And those who love me best.      [Chorus]      ""Ireland, Ireland,   When will you be free?""   ""Ireland, Ireland,   When will you be free?""  "
Joni Mitchell,This Flight Tonight,"Look out the left the captain said   The lights down there, that's where we'll land   I saw a falling star burn up   Above the Las Vegas sands   It wasn't the one that you gave to me   That night down south between the trailers   Not the early one   That you can wish upon,   Not the northern one   That guides in the sailors      Oh star bright, star bright   You've got the lovin' that I like, all right   Turn this crazy bird around   I shouldn't have got on this flight tonight      You got the touch so gentle and sweet   But you've got that look so critical   Now I can't talk to you baby   I get so weak   Sometimes I think love is just mythical   Up there's a heaven   Down there's a town   Blackness everywhere and little lights shine   Oh, blackness, blackness dragging me down   Come on light the candle in this poor heart of mine      Oh star bright, star bright   You've got the lovin' that I like, all right   Turn this crazy bird around   I shouldn't hove got on this flight tonight      I'm drinking sweet champagne   Got the headphones up high   Can't numb you out   Can't drum you out of my mind   They're playing ""Goodbye baby, Baby Goodbye,   Ooh, ooh, love is blind""   Up go the flaps, down go the wheels   I hope you got your heat turned on baby   I hope they finally fixed your automobile   I hope it's better when we meet again baby      Star bright, star bright   You got the lovin' that I like, all right   Turn this crazy bird around   I shouldn't have got on this flight tonight  "
The Beatles,Nobody's Child,"As I was slowly passing   An orphan's home one day,   I stopped for just a little while   To watch the children play.   Alone a boy was standing   And when I asked him why,   He turned with eyes that could not see   And he began to cry.      I'm nobody's child,   I'm nobody's child.   Just like the flowers   I'm growing wild.   I got no mummy's kisses   I got no daddy's smile.   Nobody wants me,   I'm nobody's child.      No mummy's arms to hold me   Or sue me when I cry,   'Cause sometimes I feel so lonesome   I wish that I could die.   I'll walk the streets of heaven   Where all blinds can see.      And just like for the other kids   It will be a home for me.      I'm nobody's child,   I'm nobody's child.   Just like the flowers   I'm growing wild.   I got no mummy's kisses   I got no daddy's smile.   Nobody wants me,   I'm nobody's child.  "
Patti Smith,Helpless,"[Originally by Neil Young]      There is a town in north Ontario,   With dream comfort memory to spare,   And in my mind   I still need a place to go,   All my changes were there.      Blue, blue windows behind the stars,   Yellow moon on the rise,   Big birds flying across the sky,   Throwing shadows on our eyes.   Leave us      Helpless, helpless, helpless   Baby can you hear me now?   The chains are locked   And tied across the door,   Baby, sing with me somehow.      Blue, blue windows behind the stars,   Yellow moon on the rise,   Big birds flying across the sky,   Throwing shadows on our eyes.   Leave us      Helpless, helpless, helpless.  "
Kiss,Easy Thing,"Love, love is so hard   Love is so hard to find   When love, such an easy thing   Such an easy thing   Such an easy thing to lose, yeah   Words, words are so hard   Words are so hard to find   When love, such an easy thing   Such an easy thing   Such an easy thing to lose, yeah      When you find your love   Will you know it's real   When you lose it all   Will you really feel love      Love, love is so hard   Love is so hard to find   'Cause love's such an easy thing   Such an easy thing   Such an easy thing to lose, yeah      When you find your love   Will you know it's real   When you lose it all   Will you really feel love      Love, love is so hard   Love is so hard to find   'Cause love (love) such an easy thing (so easy)   Such an easy thing (love is so easy)   Such an easy thing to lose, yeah (love)      Love (love) such an easy thing (so easy)   Such an easy thing (love is so easy)   Such an easy thing to lose, yeah (love, love is so easy to lose)      Love (love) such an easy thing (so easy)   Such an easy thing (love is so easy)   Such an easy thing to lose, yeah (love)      Love (love) such an easy thing (so easy)   Such an easy thing (love is so easy)   Such an easy thing to lose, (love, love is so easy to lose)  "
Overkill,Feed My Head,"Talk is cheep,   I can't afford the, price of wasted time...   Who will reap the profit of the lie?      Fantasy,   Illusion fusion impressions of a high...   Sacred is the being of the lie.      Drawn is a picture of myself,   It's all that I see, leaving!   Gone are the cries I heard for help,   The mirror spits,   Reflections of a lie.      Are you waiting for a chance?   Won't happen standing in the rain.      Damage done,   The truth is drowning in a sea of hate...   Wet, they wear the fiction like a badge over their hearts.      Drawn is a picture of myself,   It's all that I feel bleeding!   Gone are the cries I made for help,   The mirror spits,   Reflections of a lie.      Feed my head! I'm hungry for a lie.      Be sure and teach your children well,   To use it pure and slow.   Be sure they teach their children,   Be sure the children's children.      Slight of hand, slight of word.   Slight to believe, the absurd.   Feed my head I'm hungry.   I'm hungry for a lie.      Drawn is a picture of myself,   It's all that I see grieving!   Gone are the cries I made for help,   The mirror spits,   Reflections of a lie.      Feed my head of a lie!   Feed my head reflections of a lie.   Feed my head. Feed my  "
Everclear,Evergleam,"Evergleam and I know why God is good and Jesus loves me   Heaven lives and I know where      Sounds to me a not so easy chair falling free and living down   Stringing out and over and happy      Evergleam and I know why it isn't real and I'm not going to break   Not going to break      Don't die don't give in to it no way no way   Please don't leave me      Evergleam and I know how pulling hair and breaking voices   Spin the wheel it will give you now      Spinning wills don't give you choices   Give away the spark inside, you give away the shining prize   Evergleam and I know how it isn't real and I'm not going to break      I'm not going to break   No way, I'm not gonna break   I'm not gonna break   No way      Evergleam, everywhere, ever weird, everyone   Evergleam, everywhere, everything   I'm not going away, not going away, not going away   No way, I'm not gonna break, not gonna break   No way, I'm not gonna break   I won't see you there I'm not going away   No way, no way, no way  "
Stone Temple Pilots,Naked Sunday,You're the fuel to the fire You're the weapons of war   You're the irony of justice And the father of law      I've been waiting for a while to meet you   For the chance to shake your hand   To give you thanks for all the suffering you command   And when all is over and we return to dust   Who will be my judge and which one do I trust?   Angst...      You're the champion of sorrow You're the love and the pain   You're the fighter of evil Yet you're one and the same      I've been waiting for a while to meet you   For the chance to shake your hand   To give you thanks for all the suffering you command   And when all is over and we return to dust   Who will be my judge and which one do I trust?   Angst..    
The Beatles,Not A Second Time,"You know you made me cry   I see no use in wondering why   I cry for you      And now you've changed your mind   I see no reason to change mine   I cry it's through, oh      You're giving me the same old line   I'm wondering why   You hurt me then   You're back again   No, no, no, not a second time      You know you made me cry   I see no use in wondering why   I cry for you, yea      And now you've changed your mind   I see no reason to change mine   I cry it's through, oh      You're giving me the same old line   I'm wondering why   You hurt me then   You're back again   No, no, no, not a second time   Not a second time   Not the second time   No, no, no, no, no   No, no no  "
Miley Cyrus,Take Me Along,"The city of angels is lonely tonight   Keep myself alight by candlelight   So she can love you like I do   Look me in the eyes and say it's true   I ask myself is this love at all   When I need you most, you let me fall   I'm always here at the side of your stage   Let you live your life   Pretend I'm okay (don't you know)   I'll be okay   I'll hold you close we'll stay forever      I, I don't understand why you're leaving me   I, I don't understand, how without you I can breathe   Please don't, don't leave me here   Take my hand and breathe in deep   I don't understand why you can't take me with you      You can pretend I don't exist,   But you will see my face every time you kiss   I hope you heard any walls fall down,   When you hear the sound that I'm okay (don't you know)   I'll be okay   You can't hold me down, I will stay forever      I, I don't understand why you're leaving me   I, I don't understand how without you I can breathe   Please don't, don't leave me here   Take my hand and breathe in deep   I don't understand why you can't take me with you      I watched you leave   I'm awake tonight   And I'm letting go for the last time   And through the tears I say goodbye   So breathe in, breathe in, breathe in, breathe out.      I, I don't understand, why you're leaving me   I, I don't understand how without you I can't breathe   Please don't, don't leave me here   Take my hand and breathe in deep   I don't understand why you can't take me with you   Don't leave me here   Please don't leave me here   I, I don't understand,   How without you I can breathe   Please don't, don't leave me here   Take my hand and breathe in deep   I don't understand why how can't take me with you  "
Nick Cave,Mojo,They call him Joe The Dragon   He's on the water wagon   He's got that look of mourning and concentration on his face   Carries a 38 special   A six inch barrel   The saddest damn man in the entire human race      Mojo (4x)      Joe's mind is full of motors(?)   He is always taking photos   Of the remains of his beserk little twists   Yes ....(?) polaroids   Of his little golden boys   18 carat corpses with wired wrists      Mojo (4x)      Blood thicker than water will flow   The fire will eat the streets of old Soho   Daddy's out the back with little Joe   With his vaseline and his violin and bow - Mojo      Down on Compton(?) Road   Joe ain't never going home   Till he finds what he is searching for   Well mad Mathildas in his jacket   They crank and make him record(?)   As he does and make his funny little laugh and dance upon your floor      Mojo (repeat)       
Cyndi Lauper,Gin-Iro No Yume,"Samui kita no kuni wa ima, mori no juhyo ga kirei desho   Ima sugu kita no machi made tonde iketanara   Furushikiru yuki subete o oou,   Hito no kokoro mo, namida mo tsutsunde iku   Shiroi yuki no youna yasashisa ga hoshii   Nanimokamo yuruseru kokoro ga hoshii      Ehagaki de mitsuketa toui hi no yo, yuki no machi   Mado akari no nukumori totemo shiawase sou   Shiroi yuki no youna yasashisa ga hoshii   Kagiri naku hirogaru, negai wa yume... Gin iro no yume  "
Bob Rivers,I'm A Weight Watcher,"I'm a Weight Watcher,   I'm a Weight Watcher,   Watchin' food go by.   My, my, my.   I'm a Weight Watcher,   I'm a plate watcher.   Here comes a cream pie   Mmmm, mmm, mmm.   I was just a boy   When I tried to eat my toy.   Couldn't reacy my toes   To put my shoes on.   But now I'm 28,   I'm big, fat, and overweight.   I've got a new pastime to chew on.   I'm a Weight Watcher,   I'm a plate watcher.   Watchin' food go by,   My, my, my.   Plate of cheese nachos.   I gotta watch those.   Here come some now.   Mmm, mm, mmm, mmm, mmm.   Oh, no, none for me, thanks.   Watchin' my figure.   Oh, they look delicious.   No, no, no, no.   Oh, they smell good, too.   Mmm...I shouldn't, I really shouldn't.   You make these yourself?   Well, maybe just two.  "
Tragically Hip,The Darkest One,"Come in, come in, come in, come in   From under these darling skies come in   It's warm and it's safe here and almost harkening   Off to a time and place now lost on our imagination      Where you don't complain, but you still do   And you don't explain if you want to explain   What you believe you say without shame, 'I just do'   To say what you mean you don't mean what you say   Or you do      Where the wild are strong (Wild are strong)   And the strong are the darkest ones (The strong are the darkest ones)   And you're the darkest one      Come in, come in, come in, come in   From thin and wicked prairie winds, come in   It's warm and it's safe here and almost heartening   Here in a time and place not lost on our imagination      Where you don't explain, but you still do   And you can complain if you want to complain   Where you're real instrumental or supple   Or sexy as hell   Where you say 'I believe' or say without shame   'I can't tell'      Where the wild are strong (Wild are strong)   And the strong are the darkest ones (The strong are the darkest ones)   And you're the darkest one   And you're the darkest one   And if that's what you want   Oh then you're the darkest one  "
Jackson Browne,Everywhere I Go,"I hear your heart beating everywhere   When we're apart I can hear you there   I hear your heart beating everywhere   Everywhere I go      People say that I must be in love   The way I forget what we're speaking of   The way I stand there smiling straight ahead   And walk away without hearing a word they said      I hear your heart beating everywhere   When we're apart I can close my eyes and hear you there   I hear your heart beating everywhere   Everywhere I go      In the middle of the football game   At the beach in the pouring rain   Standing on a hillside staring at the sun   People hurry by the unfortunate one   With the faraway eyes and the mystery smile   Moving my body in a ragamuffin style   I can't sit down when I hear it start   I hear your heart everywhere I go      People say that I must be a fool   Cause when I'm near you I cannot be cool   I don't quite make sense when I talk to you   And when you smile I forget everything I knew      I hear your heart beating everywhere   When we're apart I can close my eyes and hear you there   I hear your heart beating everywhere   Everywhere I go      Standing in the market where I buy my bread   With a hunger in my belly and a rhythm in my head   Looking all around for something good to eat   Between the butter and the beans and the mops and the meat   Coffee from the mountain, honey from the bee   Nothing tastes as good as you taste to me   Rocking in the aisle to my inside song   People staring at me think I got a Walkman on      I hear your heart beating everywhere   I hear your heart   I hear your heart beating everywhere   I hear your heart   Beating everywhere I go  "
Marillion,This Is The 21St Century,"(...If you could only see what I've seen with your eyes)      A wise man once said   A flower is only   A sexual organ   Beauty is cruelty   And evolution   A wise man once said   that everything could be explained with mathematics   He had denied   His feminine side   Now where is the wisdom in that?      I came just as fast as I could   Through the dirty air   Of your neighbourhood   Your name on a grain of rice   Hangin' around my neck   And a head like lead      This is the 21st century   I heard everything they said   The Universe demystified   Chemicals for God   This is the 21st century   I heard everything they said      A wise man once wrote   That love is only   An ancient instinct   For reproduction   Natural selection   A wise man once said   That everything could be explained   And it's all in the brain      We lay on a velvet rug   by the open fire   She blew air on my eyelids   I cried ""What's it all about?""   As she kissed my hair   She said ""There, there..""      ""This is the 21st century   I heard everything you said   The universe demystified   Astronomy instead   This is the 21st century   Can't you get it through your head   This ain't the way it was meant to be   Magic isn't dead   Come to bed   Come to bed      And rest your heavy head my love..""   And slowly, from above,   She showed the answer's something that can't be written down      This is the 21st century   Flash to crash and burn   Nobody's gonna give you anything   For nothing in return   There's a man up in a mirrored building   And he just bought the world      Would you want   To have kids   Growing up   Into what's left of this?      She shook her head,   She said ""Can't you see?   The world is you   The world is me.""  "
Waylon Jennings,Cedartown Georgia,I got a gal in Cedartown Georgia I used to have to walk nearly three miles to court her   She never had much just a sharecropper's daughter   But I married her and took her down to New Orleans   Got a little house in the South French Quarter   Got a job tookin' bales load them on steamboat   I give the seven days pay next day unbroke   When she ain't a sleepin' all day she's a primpin'      Every evenin' when the sun goes down she starts a swarmin' on Orleans town   Walkin' into work this mornin' at daybreak   I caught her with the tall long dandy from canebreak   As she walked right by me and she looked right through me      I made up my mind what I'm a gonna do eased in the pawnshop and bought a 22   I watched as the roomclerk gave them a room key   A standin' right outside I could read Room 23   Tonight I'll put her on a train for Georgia   Gonna be a lotta kin folks squallin' and a grieving   Cause that Cedartown gal ain't breathing  
